start_date,end_date,firm_title,mode,sample_size,primary_lnc,primary_alp,primary_green,primary_onenation,primary_unitedaustralia,primary_other,primary_undecided,tpp_lnc,tpp_alp,tpp_undecided
2001-02-17,2001-02-25,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.63,NA
2001-03-03,2001-03-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385,0.615,NA
2007-02-24,2007-02-25,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385,0.615,NA
2007-03-03,2007-03-04,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385,0.615,NA
2007-09-22,2007-09-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395,0.605,NA
2007-11-03,2007-11-04,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.62,NA
2009-09-05,2009-09-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.62,NA
2009-10-17,2009-10-25,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395,0.605,NA
2013-03-28,2013-03-31,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.41,NA
2013-04-18,2013-04-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545,0.455,NA
1998-03-04,1998-03-12,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA
1998-04-01,1998-04-09,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA
2001-09-29,2001-10-07,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA
2003-10-11,2003-10-19,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA
2004-09-25,2004-09-26,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA
2010-05-04,2010-05-05,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA
2010-05-26,2010-05-27,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA
2010-08-03,2010-08-03,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA
1998-05-06,1998-05-14,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485,0.515,NA
1998-06-03,1998-06-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485,0.515,NA
2001-10-20,2001-10-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485,0.515,NA
2004-07-03,2004-07-04,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485,0.515,NA
2004-10-02,2004-10-03,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485,0.515,NA
2010-05-08,2010-05-09,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485,0.515,NA
2010-06-12,2010-06-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485,0.515,NA
1997-10-15,1997-10-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.53,NA
1998-05-20,1998-05-28,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.53,NA
1998-06-17,1998-06-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.53,NA
2003-10-25,2003-11-02,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.53,NA
2004-06-05,2004-06-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.53,NA
2004-07-17,2004-07-25,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.53,NA
2004-09-18,2004-09-19,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.53,NA
2009-12-02,2009-12-03,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.53,NA
2009-12-04,2009-12-09,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.53,NA
2010-06-19,2010-06-20,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.53,NA
2010-07-27,2010-07-28,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.53,NA
2010-07-31,2010-08-01,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.53,NA
2015-10-24,2015-11-01,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,0.435,NA
1997-11-19,1997-11-27,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
1998-08-15,1998-08-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
1998-08-22,1998-08-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2001-11-03,2001-11-04,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2004-04-10,2004-04-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2004-09-11,2004-09-12,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2007-01-20,2007-01-28,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2007-08-18,2007-08-26,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2007-10-24,2007-10-25,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2007-11-21,2007-11-22,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2010-01-13,2010-01-14,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2010-04-24,2010-04-25,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2010-05-22,2010-05-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2010-07-10,2010-07-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2015-08-15,2015-08-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.545,NA
2012-09-08,2012-09-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535,0.465,NA
2012-10-27,2012-11-04,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535,0.465,NA
2013-09-04,2013-09-06,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535,0.465,NA
1998-07-18,1998-07-26,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.56,NA
2000-12-09,2000-12-17,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.56,NA
2004-08-28,2004-09-05,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.56,NA
2007-10-20,2007-10-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.56,NA
2007-11-07,2007-11-08,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.56,NA
2009-11-07,2009-11-08,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.56,NA
2010-04-10,2010-04-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.56,NA
2010-07-17,2010-07-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.56,NA
2003-11-08,2003-11-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505,0.495,NA
2012-09-17,2012-09-20,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505,0.495,NA
2013-06-26,2013-06-26,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505,0.495,NA
1998-07-04,1998-07-12,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,0.575,NA
2001-01-06,2001-01-14,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,0.575,NA
2007-01-06,2007-01-14,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,0.575,NA
2007-02-03,2007-02-04,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,0.575,NA
2007-05-26,2007-05-27,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,0.575,NA
2007-06-09,2007-06-17,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,0.575,NA
2007-10-06,2007-10-07,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,0.575,NA
2007-10-27,2007-10-28,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,0.575,NA
2010-02-06,2010-02-14,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,0.575,NA
2010-08-07,2010-08-08,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,0.575,NA
2006-12-09,2006-12-10,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.59,NA
2006-12-16,2006-12-17,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.59,NA
2007-06-23,2007-07-01,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.59,NA
2007-09-08,2007-09-09,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.59,NA
2009-12-05,2009-12-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.59,NA
2012-11-27,2012-11-29,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.49,NA
1998-02-18,1998-02-26,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.51,NA
2001-09-15,2001-09-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.51,NA
2001-09-22,2001-09-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.51,NA
2004-10-07,2004-10-08,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.51,NA
2010-08-14,2010-08-14,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.51,NA
2010-08-18,2010-08-19,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.51,NA
2010-08-18,2010-08-20,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.51,NA
2015-07-04,2015-07-12,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.51,NA
1998-01-21,1998-01-29,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
1998-02-04,1998-02-12,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
2001-10-27,2001-10-28,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
2003-12-06,2003-12-07,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
2004-05-15,2004-05-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
2006-11-25,2006-12-03,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
2010-05-29,2010-05-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
2012-12-08,2012-12-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
1997-10-01,1997-10-09,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.575,0.425,NA
2015-12-05,2015-12-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.575,0.425,NA
2001-01-20,2001-01-28,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.54,NA
2003-12-13,2003-12-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.54,NA
2004-06-19,2004-06-27,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.54,NA
2004-07-10,2004-07-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.54,NA
2015-07-18,2015-07-26,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.54,NA
1998-08-29,1998-08-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
1998-09-19,1998-09-20,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2000-11-11,2000-11-19,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2001-08-04,2001-08-12,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2004-01-03,2004-01-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2004-02-14,2004-02-22,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2004-02-28,2004-03-07,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2004-03-13,2004-03-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2004-08-14,2004-08-22,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2007-10-17,2007-10-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2007-11-15,2007-11-17,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2010-02-27,2010-03-07,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2010-07-20,2010-07-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2010-07-24,2010-07-25,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
1997-12-03,1997-12-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515,0.485,NA
2010-06-25,2010-06-28,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515,0.485,NA
2001-02-03,2001-02-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2001-05-26,2001-05-27,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2001-06-09,2001-06-17,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2001-08-18,2001-08-26,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2007-02-10,2007-02-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2007-10-13,2007-10-14,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2015-08-01,2015-08-09,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2015-09-12,2015-09-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2007-03-17,2007-03-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.585,NA
2007-08-04,2007-08-12,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.585,NA
2009-11-21,2009-11-22,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.585,NA
2009-11-28,2009-11-29,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.585,NA
2010-01-09,2010-01-17,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.585,NA
2001-03-17,2001-03-25,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2001-06-02,2001-06-03,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2007-03-24,2007-04-01,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2007-05-05,2007-05-06,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2007-05-19,2007-05-20,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2007-09-01,2007-09-02,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2009-10-03,2009-10-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2001-10-13,2001-10-14,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.45,NA
2015-09-19,2015-09-20,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.45,NA
2010-05-12,2010-05-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.48,NA
2012-09-22,2012-09-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.48,NA
2012-09-29,2012-10-07,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.48,NA
1998-03-18,1998-03-26,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.505,NA
1998-04-29,1998-04-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.505,NA
1998-09-23,1998-09-24,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.505,NA
2010-05-15,2010-05-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.505,NA
2012-10-13,2012-10-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.505,NA
2012-11-10,2012-11-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.505,NA
1998-01-07,1998-01-15,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
2001-09-01,2001-09-02,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
2003-11-22,2003-11-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
2003-11-29,2003-11-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
2009-11-11,2009-11-12,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
2010-06-05,2010-06-06,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
2010-08-14,2010-08-15,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
1997-10-22,1997-10-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
1997-11-05,1997-11-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
1998-04-22,1998-04-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
1998-06-24,1998-07-02,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
2004-04-24,2004-05-02,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
2004-07-31,2004-08-08,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
2007-11-23,2007-11-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
2010-02-10,2010-02-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
1998-09-12,1998-09-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2000-11-25,2000-12-03,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2001-07-07,2001-07-15,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2001-09-08,2001-09-09,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2004-01-17,2004-01-25,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2004-03-27,2004-04-04,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2004-05-22,2004-05-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2007-07-07,2007-07-15,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2007-07-21,2007-07-29,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2010-06-26,2010-07-04,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2015-08-29,2015-09-06,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2012-11-24,2012-12-02,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525,0.475,NA
2001-06-23,2001-07-01,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
2001-07-21,2001-07-29,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
2004-01-31,2004-02-08,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
2007-09-15,2007-09-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
